id;question;q1;r1;q2;r2;q3;r3;q4;r4
1;Dada a função $f(x) = -3x - 3$, qual o valor de $f(-17)$;45;FALSE;42;FALSE;51;FALSE;48;TRUE
2;Dada a função $f(x) = -5x - 38$, qual o valor de $f(18)$;-128;TRUE;-123;FALSE;-138;FALSE;-133;FALSE
3;Dada a função $f(x) = -9x - 60$, qual o valor de $f(9)$;-141;TRUE;-159;FALSE;-132;FALSE;-150;FALSE
4;Dada a função $f(x) = -5x - 95$, qual o valor de $f(-30)$;55;TRUE;45;FALSE;60;FALSE;50;FALSE
5;Dada a função $f(x) = 19x - 69$, qual o valor de $f(15)$;235;FALSE;216;TRUE;254;FALSE;197;FALSE
6;Dada a função $f(x) = -20x + 91$, qual o valor de $f(-26)$;631;FALSE;591;FALSE;611;TRUE;571;FALSE
7;Dada a função $f(x) = 20x + 80$, qual o valor de $f(-21)$;-320;FALSE;-340;TRUE;-300;FALSE;-360;FALSE
8;Dada a função $f(x) = 19x + 45$, qual o valor de $f(8)$;197;TRUE;178;FALSE;216;FALSE;235;FALSE
9;Dada a função $f(x) = -11x - 8$, qual o valor de $f(-30)$;300;FALSE;333;FALSE;311;FALSE;322;TRUE
10;Dada a função $f(x) = -x - 53$, qual o valor de $f(-3)$;-49;FALSE;-51;FALSE;-50;TRUE;-52;FALSE
11;Dada a função $f(x) = 8x - 50$, qual o valor de $f(24)$;158;FALSE;134;FALSE;142;TRUE;150;FALSE
12;Dada a função $f(x) = -17x - 53$, qual o valor de $f(9)$;-223;FALSE;-240;FALSE;-189;FALSE;-206;TRUE
13;Dada a função $f(x) = 17x + 95$, qual o valor de $f(-10)$;-75;TRUE;-58;FALSE;-92;FALSE;-41;FALSE
14;Dada a função $f(x) = 7x + 89$, qual o valor de $f(6)$;124;FALSE;138;FALSE;131;TRUE;145;FALSE
15;Dada a função $f(x) = -7x - 2$, qual o valor de $f(24)$;-184;FALSE;-170;TRUE;-163;FALSE;-177;FALSE
16;Dada a função $f(x) = -20x - 69$, qual o valor de $f(11)$;-309;FALSE;-289;TRUE;-329;FALSE;-269;FALSE
17;Dada a função $f(x) = -8x - 78$, qual o valor de $f(17)$;-214;TRUE;-206;FALSE;-230;FALSE;-222;FALSE
18;Dada a função $f(x) = 10x + 8$, qual o valor de $f(-11)$;-82;FALSE;-92;FALSE;-112;FALSE;-102;TRUE
19;Dada a função $f(x) = 15x - 69$, qual o valor de $f(20)$;246;FALSE;231;TRUE;261;FALSE;216;FALSE
20;Dada a função $f(x) = -19x - 29$, qual o valor de $f(26)$;-523;TRUE;-504;FALSE;-542;FALSE;-561;FALSE
21;Dada a função $f(x) = 15x + 61$, qual o valor de $f(-24)$;-269;FALSE;-284;FALSE;-299;TRUE;-314;FALSE
22;Dada a função $f(x) = 6x + 40$, qual o valor de $f(-24)$;-110;FALSE;-98;FALSE;-104;TRUE;-92;FALSE
23;Dada a função $f(x) = -2x + 67$, qual o valor de $f(-6)$;79;TRUE;75;FALSE;81;FALSE;77;FALSE
24;Dada a função $f(x) = -2x - 5$, qual o valor de $f(27)$;-59;TRUE;-61;FALSE;-57;FALSE;-63;FALSE
25;Dada a função $f(x) = 5x - 50$, qual o valor de $f(17)$;40;FALSE;45;FALSE;30;FALSE;35;TRUE
26;Dada a função $f(x) = x + 44$, qual o valor de $f(16)$;61;FALSE;62;FALSE;59;FALSE;60;TRUE
27;Dada a função $f(x) = -3x + 76$, qual o valor de $f(1)$;73;TRUE;67;FALSE;76;FALSE;70;FALSE
28;Dada a função $f(x) = -6x + 86$, qual o valor de $f(-7)$;128;TRUE;122;FALSE;134;FALSE;116;FALSE
29;Dada a função $f(x) = -12x + 99$, qual o valor de $f(-29)$;459;FALSE;447;TRUE;423;FALSE;435;FALSE
30;Dada a função $f(x) = x - 33$, qual o valor de $f(29)$;-2;FALSE;-3;FALSE;-4;TRUE;-5;FALSE
31;Dada a função $f(x) = -9x + 29$, qual o valor de $f(-20)$;191;FALSE;218;FALSE;209;TRUE;200;FALSE
32;Dada a função $f(x) = -x - 80$, qual o valor de $f(16)$;-96;TRUE;-95;FALSE;-97;FALSE;-98;FALSE
33;Dada a função $f(x) = 16x - 93$, qual o valor de $f(28)$;339;FALSE;355;TRUE;371;FALSE;387;FALSE
34;Dada a função $f(x) = 2x - 24$, qual o valor de $f(-14)$;-48;FALSE;-50;FALSE;-54;FALSE;-52;TRUE
