pergunta;alternativa1;alternativa2;alternativa3;alternativa4;resposta;turma;disciplina
Referente à relação entre espaço geográfico e paisagem, assinale a alternativa correta.;A paisagem é conhecida por sua alta complexidade e diferentes níveis de hierarquização, além de ser um elemento fundamental de configuração do espaço geográfico, interligando-o ao sistema mundial em tempos de globalização.;Conceituada como determinada área da superfície terrestre que apresenta características próprias que a diferenciam das demais, a paisagem, se diferenciada a partir de critérios políticos, sociais, econômicos e culturais, torna-se espaço geográfico.;A paisagem contempla elementos culturais, construídos pelo trabalho humano, e naturais, resultantes da ação dos processos da natureza. Já o espaço geográfico materializa todos esses elementos mais as relações humanas que se desenvolvem na vida em sociedade.;Qualquer espaço definido e delimitado por e a partir de relações de poder se caracteriza como paisagem. Essa paisagem é compreendida como uma fração ou um recorte do espaço geográfico.;3.0;EMMAT1A;Geografia
O conceito geográfico que adequadamente sintetiza os sistemas técnicos de comunicações e transportes é o conceito de;território;zona;área;Rede;4.0;EMMAT1A;Geografia
O conceito geográfico que evoca a ação estatal e políticas de planejamento territorial é o de;região;rede;território;espaço;3.0;EMMAT1A;Geografia
Considerando o texto sobre a casa dos avós, o autor utiliza qual conceito geográfico?;Paisagem, uma vez que o autor consegue captar, por meio da percepção visual as transformações na casa dos avós.;Lugar geográfico, conceito utilizado pelo autor, é retrato pela apropriação da afetividade e do sentimento ao relembrar a casa dos seus avós.;Território, já que o espaço destacado é marcado por uma relação de poder.;Região, ao uniformizar as áreas da casa com suas respectivas características comuns;2.0;EMMAT1A;Geografia
Considerando o conceito de região, em Geografia, assinale a afirmação verdadeira.;De acordo com a corrente da Geografia Crítica, é considerada uma entidade concreta, resultado de múltiplas determinações, a saber: naturais, culturais, sociais, econômicas, políticas, dentre outras.;É um conjunto de formas que, em um dado período, revela as heranças que representam as relações espacializadas entre homem e natureza.;Em uma economia urbana de mercado, trata-se de um sistema reticular de fixos conectados por meio de fluxos que podem ser hierárquicos ou heterárquicos.;É definida e delimitada por e a partir de relações de poder projetadas no espaço.;1.0;EMMAT1A;Geografia
A ciência geográfica costuma estudar;a diferenciação de áreas com base no uso avançado de geotecnologias.;a influência que as condições geológicas exercem sobre o homem.;a morfologia, na paisagem, de diferentes fatores, em especial os climáticos e os ecológicos.;as relações próprias da natureza, as relações próprias da sociedade e, de forma integrada, as relações entre a sociedade e a natureza.;4.0;EMMAT1A;Geografia
A delimitação da paisagem se dá unicamente por meio das relações de poder.;CERTO;ERRADO;DEPENDE;NÃO SE APLICA;2.0;EMMAT1A;Geografia
O espaço é uma criação da sociedade, e o trabalho deixa marcas visíveis na paisagem.;CERTO;ERRADO;DEPENDE;NÃO SE APLICA;1.0;EMMAT1A;Geografia
Na composição 'Triste Partida', a categoria geográfica 'lugar' está empregada;com o sentido de paisagem, pois é do topo da serra que o retirante delimita visualmente o que ele denomina como o seu lugar.;erroneamente porque ninguém pode ter o sentimento de identidade e de pertencimento a uma terra inóspita que só lhe causa sofrimento.;com o sentido de território, pois trata-se de um espaço apropriado pelo fazendeiro.;corretamente porque está impregnada de emoções e de afetividade. Há uma identidade de pertencimento para com esta parcela do espaço.;4.0;EMMAT1A;Geografia
O conjunto de lugares, marcados por diferentes naturezas e processos históricos, unidos por relações em diferentes escalas, denomina-se de;ecossistema;bioma;espaço geográfico;nicho geográfico;3.0;EMMAT1A;Geografia
